Nom Film,Resume,date,heure,Type ,Réalisateur,Acteur,Note presse,Note Public
Je Ne Suis Pas Un Homme Facile,"Damien, Don Juan célibataire, se retrouve propulsé dans une société matriarcale où il tombe amoureux d'Alexandra, femme puissante et croqueuse de jeunots. Pour lui plaire, Damien tente de décrypter les codes inversés de ce nouveau monde...","14 avril 2018
","
1h 38min
","
Comédie,
Romance","
Eléonore Pourriat","
Vincent Elbaz,
Marie-Sophie Ferdane,
Pierre Bénézit","3,7",--
John Wick 2,"John Wick est forcé de sortir de sa retraite volontaire par un de ses ex-associés qui cherche à prendre le contrôle d’une mystérieuse confrérie de tueurs internationaux. Parce qu’il est lié à cet homme par un serment, John se rend à Rome, où il va devoir affronter certains des tueurs les plus dangereux du monde.","22 février 2017
","
2h 03min
","
Action","
Chad Stahelski","
Keanu Reeves,
Riccardo Scamarcio,
Ian McShane",,
Le Pic de Dante,"Harry Dalton, volcanologue qui, à la suite de la mort de sa compagne, avait renoncé à ses recherches, renoue avec ses anciens collègues de l'United States Geological Survey de Vancouver. Le pic de Dante, volcan endormi dans l'Etat de Washington, présente des manifestations sismiques de faible amplitude. Harry est alors depeché sur les lieux. ...","2 avril 1997
","
1h 52min
","
Drame,
Thriller","
Roger Donaldson","
Pierce Brosnan,
Linda Hamilton,
Jamie Renee Smith","2,3",--
Birdman,"L'acteur Riggan Thomson, has been connu pour avoir incarné un célèbre super-héros, monte une pièce à Broadway autour de son propre personnage dans l'espoir de renouer avec sa gloire passée.","25 février 2015
","
1h 59min
","
Comédie,
Drame","
Alejandro González Iñárritu","
Michael Keaton,
Zach Galifianakis,
Edward Norton","3,9",--
Certains l'aiment chaud,"Deux musiciens de jazz au chômage, mêlés involontairement à un règlement de comptes entre gangsters, se transforment en musiciennes pour leur échapper. Ils partent en Floride avec un orchestre féminin. Ils tombent amoureux d'une ravissante créature.","9 septembre 1959
","
2h 01min
","
Comédie,
Romance","
Billy Wilder","
Marilyn Monroe,
Tony Curtis,

Jack Lemmon","4,2",--
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles),"Il y a bien longtemps, dans une galaxie très lointaine... La guerre civile fait rage entre l'Empire galactique et l'Alliance rebelle.","19 octobre 1977
","
2h 01min
","
Aventure,
Science Fiction","
George Lucas","
Mark Hamill,

Harrison Ford,
Carrie Fisher","4,4",--
"Crazy, Stupid, Love","A tout juste quarante ans, Cal Weaver mène une vie de rêve - bonne situation, belle maison, enfants formidables et mariage parfait avec sa petite amie du lycée. Mais lorsqu’il apprend que sa femme, Emily, le trompe et demande le divorce, sa vie « parfaite » s’écroule.","14 septembre 2011
","
1h 58min
","
Comédie,
Romance","
John Requa,
Glenn Ficarra","
Steve Carell,
Ryan Gosling,
Julianne Moore","3,8",--
Chambre 212,"Après 20 ans de mariage, Maria décide de quitter le domicile conjugal. Une nuit, elle part s’installer dans la chambre 212 de l’hôtel d’en face. De là, Maria a une vue plongeante sur son appartement, son mari, son mariage. Elle se demande si elle a pris la bonne décision.","9 octobre 2019
","
1h 27min
","
Comédie,
Drame","
Christophe Honoré","
Chiara Mastroianni,
Vincent Lacoste,
Camille Cottin","2,8",--
Gagarine,"Youri, 16 ans, a grandi à Gagarine, immense cité de briques rouges d’Ivry-sur-Seine, où il rêve de devenir cosmonaute. Quand il apprend qu’elle est menacée de démolition, Youri décide de rentrer en résistance. Avec la complicité de Diana, Houssam et des habitants, il se donne pour mission de sauver la cité, devenue son "" vaisseau spatial "".","23 juin 2021
","
1h 38min
","
Drame","
Fanny Liatard,
Jérémy Trouilh","
Alséni Bathily,
Lyna Khoudri,
Jamil McCraven","3,7",--
Enemy,"Adam, un professeur discret, mène une vie paisible avec sa fiancée Mary. Un jour qu'il découvre son sosie parfait en la personne d’Anthony, un acteur fantasque, il ressent un trouble profond. Il commence alors à observer à distance la vie de cet homme et de sa mystérieuse femme enceinte.","27 août 2014
","
1h 30min
","
Thriller","
Denis Villeneuve","
Jake Gyllenhaal,

Mélanie Laurent,
Sarah Gadon","3,0",--
Un Sac De Billes,"Dans la France occupée, Maurice et Joseph, deux jeunes frères juifs livrés à eux-mêmes, font preuve d’une incroyable dose de malice, de courage et d’ingéniosité pour échapper à l’invasion ennemie et tenter de réunir leur famille à nouveau.","18 janvier 2017
","
1h 54min
","
Drame","
Christian Duguay","
Dorian Le Clech,
Batyste Fleurial,
Patrick Bruel","4,1",--
Okja,"Ce film est présenté en compétition au Festival de Cannes 2017Mija risque tout pour empêcher une puissante multinationale de kidnapper son meilleur ami, Okja, un un énorme animal au grand cœur.","10 avril 2020
","
1h 58min
","
Aventure,
Drame,
Science Fiction","
Bong Joon Ho","
Seo-Hyun Ahn,
Tilda Swinton,

Jake Gyllenhaal","4,0",--
Case départ,Deux jeunes Antillais se retrouvent propulsés à la fin du XVIIIe siècle dans les champs de canne à sucre sous le joug d'un esclavagiste...,"6 juillet 2011
","
1h 34min
","
Comédie","
Thomas Ngijol,
Fabrice Eboué,
Lionel Steketee","
Fabrice Eboué,
Thomas Ngijol,
Stéfi Celma","2,9",--
Lui,"Un compositeur en mal d’inspiration, qui vient de quitter femme et enfants, pense trouver refuge dans une vieille maison à flanc de falaise, sur une île bretonne déserte. Dans ce lieu étrange et isolé, il ne va trouver qu’un piano désaccordé et des visiteurs bien décidés à ne pas le laisser en paix.","27 octobre 2021
","
1h 28min
","
Drame,
Thriller","
Guillaume Canet","
Guillaume Canet,
Virginie Efira,
Mathieu Kassovitz","1,7",--
American Gangster,"Dans les années 70, les manoeuvres d'un dealer de Harlem ayant trouvé un moyen de transporter de la drogue dans les cercueils de soldats américains tués au Vietnam...","14 novembre 2007
","
2h 37min
","
Policier,
Drame","
Ridley Scott","
Russell Crowe,
Denzel Washington,
Chiwetel Ejiofor","4,1",--
Harriet,"L'histoire de Harriet Tubman, qui a aidé plus d'une centaines d'esclaves à fuir le Sud des Etats-Unis après s'être elle-même échappée en 1849.","30 juin 2020
","
2h 05min
","
Biopic,
Drame,
Historique","
Kasi Lemmons","
Cynthia Erivo,
Leslie Odom Jr.,
Joe Alwyn",--,"4,2"
"Plaire, aimer et courir vite","1990. Arthur a vingt ans et il est étudiant à Rennes. Sa vie bascule le jour où il rencontre Jacques, un écrivain qui habite à Paris avec son jeune fils. Le temps d’un été, Arthur et Jacques vont se plaire et s’aimer. Mais cet amour, Jacques sait qu’il faut le vivre vite.","10 mai 2018
","
2h 12min
","
Comédie dramatique","
Christophe Honoré","
Vincent Lacoste,
Pierre Deladonchamps,
Denis Podalydès",--,
Django,"En 1943 pendant l’occupation allemande, le tsigane Django Reinhardt, véritable “guitare héros”, est au sommet de son art. Chaque soir il fait vibrer le tout Paris aux Folies Bergères avec sa musique swing alors qu’en Europe, ses frères sont pourchassés et massacrés.","26 avril 2017
","
1h 57min
","
Biopic,
Drame,
Musical","
Etienne Comar","
Reda Kateb,
Cécile de France,
Bea Palya","3,0","3,3"
Harry Potter et les reliques de la mort - partie 1,La première partie du septième et ultime volet des aventures du célèbre sorcier de Poudlard.,"24 novembre 2010
","
2h 25min
","
Aventure,
Fantastique","
David Yates","
Daniel Radcliffe,
Rupert Grint,
Emma Watson","3,2","4,0"
Matilda,"L'histoire de Matilda, jeune prodige, flanquée de parents abrutis et d'une directrice d'école terroriste, qui s'épanouira grâce à son institutrice.","9 avril 1997
","
1h 38min
","
Comédie,
Fantastique","
Danny DeVito","
Mara Wilson,
Danny DeVito,
Rhea Perlman","3,3",--
Sous sa coupe,Une jeune femme ambitieuse conclut un accord inhabituel avec sa patronne charismatique. Mais pourra-t-elle faire machine arrière si besoin est ?,"29 août 2022
","
1h 49min
","
Drame","
Fran Torres (II)","
Aitana Sánchez-Gijón,
Cumelen Sanz,
Younes Bachir",--,"3,9"
All Eyes Off Me,"Raconté en trois chapitres liés, le film suit une génération jeune et confiante. Danny est enceinte de Max. Elle veut profiter d’une fête pour le lui annoncer, mais n’y parvient pas. De son côté, Max explore les fantasmes sexuels de sa fiancée Avishag.","8 juin 2022
","
1h 30min
","
Comédie,
Drame","
Hadas Ben Aroya","
Elisheva Weil,
Leib Lev Lenin,
Yoav Hait",--,"3,2"
Les Clefs de bagnole,"Qui pensait que perdre des clefs de bagnole pouvait mener aussi loin ? Attention, l'aventure est au coin de la rue...","10 décembre 2003
","
1h 34min

","
Comédie","
Laurent Baffie","
Laurent Baffie,
Daniel Russo,
Pascal Sellem",--,"3,0"
La Nuit au musée,"Le Muséum d'Histoire Naturelle renferme dans ses murs un secret mystérieux et stupéfiant que Larry, nouveau gardien de sécurité, ne va pas tarder à découvrir avec affolement : la nuit, toutes les expositions prennent vie !","7 février 2007
","
1h 48min
","
Comédie,
Fantastique","
Shawn Levy","
Ben Stiller,
Carla Gugino,
Dick Van Dyke",--,"4,2"
La Guerre des Mondes,"Ray est un père de famille divorcé qui entretient des relations épisodiques avec ses enfants. Quelques minutes après que son ex-femme lui en ait confié la garde, un puissant orage éclate. Ray assiste à un spectacle qui bouleversera à jamais sa vie...","6 juillet 2005
","
1h 52min
","
Drame,
Fantastique,
Science Fiction","
Steven Spielberg","
Tom Cruise,
Dakota Fanning,
Justin Chatwin",--,"3,0"
L'Homme au masque de fer,1660. Les célèbres mousquetaires se sont séparés. Athos s'est retiré sur ses terres et consacre son temps à l'éducation de son fils Raoul ; Aramis est devenu général des jésuites ; Porthos se languit en attendant l'occasion de ferrailler...,"1 avril 1998
","
2h 12min
","
Action,
Aventure,
Drame","
Randall Wallace","
Leonardo DiCaprio,
Jeremy Irons,
John Malkovich",--,"1,4"
Blackout,"Un agent infiltré de la DEA se réveille amnésique dans un établissement psychiatrique mexicain. Tandis que plusieurs cartels sont à sa recherche, il se souvient petit à petit de son identité...","24 octobre 2022
","
1h 35min
","
Action,
Policier,
Thriller","
Sam Macaroni","
Josh Duhamel,
Abbie Cornish,
Nick Nolte","2,3","1,9"
Instincts meurtriers,Une détective au fort caractère enquête sur une série de meurtres dont les victimes se révèlent être ses anciens amants. Elle a du mal à tempérer certains accès de violence et en vient à se demander si elle n'est pas le tueur sur lequel elle enquête...,"21 avril 2004
","
1h 37min
","
Policier,
Thriller","
Philip Kaufman","
Ashley Judd,
Samuel L. Jackson,
Andy Garcia","4,0","2,7"
The Empty Man,"James Lasombra, ex-policier alcoolique qui ne se remet pas du décès de sa femme et de son fils dans un accident de voiture, est désormais détective. Il enquête sur la disparition de la fille d’une amie et tombe bientôt sur les traces de « l’Empty Man », devenu légende urbaine auprès de tous les adolescents du coin…","26 juin 2022
","
2h 17min
 ","
Epouvante-horreur,
Thriller","
David Prior","
James Badge Dale,
Stephen Root,
Joel Courtney","4,4","4,1"
Mother,Un loser asocial se retrouve accusé d'un meurtre particulièrement horrible. Sa mère se met en tête de trouver le vrai coupable afin de lui éviter la prison.,"27 janvier 2010
","
2h 10min
","
Drame,
 Thriller","
Bong Joon Ho","
Kim Hye-Ja,
Won Bin,
Ku Jin","3,3","3,9"
La Défense Lincoln,"Michael Haller est avocat à Los Angeles. Habile, il est prêt à tout pour faire gagner les criminels de bas étage qu’il défend. Toujours entre deux tribunaux, il travaille à l’arrière de sa voiture, une Lincoln Continental.","25 mai 2011
","
1h 58min
","
Policier,
Drame,
Thriller","
Brad Furman","
Matthew McConaughey,
Marisa Tomei,
Ryan Phillippe","2,7","3,6"
La Faille,"Un ambitieux procureur adjoint se voit confier une dernière affaire. Mais dans la partie qui s'annonce, rien n'est aussi évident qu'il y paraît. Un redoutable jeu de manipulation va commencer...","9 mai 2007
","
1h 48min
","
Thriller","
Gregory Hoblit","
Anthony Hopkins,
Ryan Gosling,
David Strathairn",,
Wonder Woman 1984,"Suite des aventures de Diana Prince, alias Wonder Woman, Amazone devenue une super-héroïne dans notre monde. Après la Première guerre mondiale, direction les années 80 ! Cette fois, Wonder Woman doit affronter deux nouveaux ennemis, particulièrement redoutables : Max Lord et Cheetah.","31 mars 2021
","
2h 31min
","
Action,
Aventure,
Fantastique","
Patty Jenkins","
Gal Gadot,
Chris Pine,
Kristen Wiig","2,1","2,1"
"Les Trois frères, le retour","Ils sont trois, Ils sont frères, Ils sont de retour. 15 ans après, Didier, Bernard et Pascal sont enfin réunis... par leur mère... Cette fois sera peut-être la bonne.","12 février 2014
","
1h 46min
","
Comédie","
Didier Bourdon,
Bernard Campan,
Pascal Légitimus","
Didier Bourdon,
Bernard Campan,
Pascal Légitimus","1,8","2,5"
Clair Obscur,Une psychiatre d'une petite ville turque croise le destin d'une jeune fille soupçonnée d'avoir assassiné son mari et sa belle-mère...,"20 novembre 2022
","
1h 45min
","
Drame","
Yeşim Ustaoğlu","
Funda Eryiğit,
Mehmet Kurtuluş,

Ecem Uzun","2,9",--
Je Ne Suis Pas Un Homme Facile,"Damien, Don Juan célibataire, se retrouve propulsé dans une société matriarcale où il tombe amoureux d'Alexandra, femme puissante et croqueuse de jeunots. Pour lui plaire, Damien tente de décrypter les codes inversés de ce nouveau monde...","14 avril 2018
","
1h 38min
","
Comédie,
Romance","
Eléonore Pourriat","
Vincent Elbaz,
Marie-Sophie Ferdane,
Pierre Bénézit",--,"3,4"
Footloose,"Ren et sa mère Ethel quittent Chicago pour Beaumont, une petite ville du Middle West. Passionné de rock et danseur effréné, Ren heurte les conceptions morales de la communauté et de son pasteur, maître à penser du lieu...","9 mai 1984
","
1h 50min
","
Comédie,
Musical","
Herbert Ross","
Kevin Bacon,
Lori Singer,
John Lithgow","4,4",--
Hamilton,"Captation de la célèbre comédie musicale de Broadway récompensée par 11 Tony, Grammy et Olivier Awards, et par un prix Pulitzer. Hamilton raconte l'histoire d'Alexander Hamilton, l'un des Pères fondateurs de la nation américaine.","3 juillet 2020
","
2h 40min
","
Biopic,
Historique,
Musical","
Thomas Kail","
Lin-Manuel Miranda,
Jonathan Groff (II),

Daveed Diggs","4,2",--
Un prophète,"Condamné à 6 ans de prison, Malik El Djebena ne sait ni lire, ni écrire. A son arrivée en Centrale, seul au monde, il paraît plus jeune, plus fragile que les autres détenus. D'emblée, il tombe sous la coupe d'un groupe de prisonniers corses...","26 août 2009
","
2h 35min
","
Policier,
Drame","
Jacques Audiard","
Tahar Rahim,
Niels Arestrup,
Adel Bencherif","3,8",--
Nocturnal Animals,"Susan, galeriste à Los Angeles, mène une vie bien rangée à la limite de la monotonie, délaissée par son époux Hutton Morrow. Jusqu’au jour où, seule à la maison, elle reçoit un livre : Nocturnal Animals, signé par son ex mari Edward Sheffield, dont elle est sans nouvelles depuis des années.","4 janvier 2017
","
1h 57min

","
Drame,
Thriller","
Tom Ford","
Amy Adams,
Jake Gyllenhaal,
Michael Shannon",--,"2,4"
Palmer,"Un ex-détenu, ancienne star de football universitaire, Eddie Palmer, se lie d'amitié avec un jeune garçon délaissé par sa mère junkie.","29 janvier 2021
","
1h 50min
","
Drame","
Fisher Stevens","
Justin Timberlake,
Juno Temple,
June Squibb",--,"3,0"
